id,order_id,variant_id,quantity,unit_price
1,1773,534,4,5.88
2,1927,539,2,135.83
3,1744,506,2,37.78
4,1443,63,2,111.6
5,1319,409,3,19.08
6,593,265,4,94.45
7,165,38,4,133.35
8,1944,220,1,237.59
9,829,590,3,208.71
10,615,299,2,244.63
11,1772,443,3,214.05
12,1688,453,3,91.17
13,1383,285,1,95.54
14,1683,381,1,8.67
15,1486,296,2,199.63
16,1669,112,5,81.23
17,529,265,1,94.45
18,817,343,1,233.56
19,1119,472,3,115.1
20,296,287,3,210.74
21,214,505,1,34.36
22,1883,388,4,56.49
23,1825,321,1,32.57
24,280,478,2,243.97
25,418,322,2,128.54
26,1853,497,2,227.24
27,450,289,3,117.41
28,1942,213,5,231.67
29,931,63,5,111.6
30,945,283,4,180.56
31,875,482,3,128.85
32,1993,434,1,216.37
33,1927,231,3,132.58
34,213,57,3,143.66
35,1465,393,5,110.24
36,292,512,3,181.18
37,1637,208,1,137.8
38,1811,275,4,142.78
39,653,499,4,21.14
40,165,477,5,49.2
41,574,505,5,34.36
42,1450,560,1,233.09
43,1828,586,2,148.25
44,1521,427,1,129.4
45,198,149,4,21.72
46,447,434,5,216.37
47,1147,151,1,222.77
48,168,116,1,241.41
49,1387,339,1,9.27
50,1318,597,5,25.44
51,1400,384,4,11.67
52,848,405,1,199.74
53,1524,462,3,37.99
54,815,447,4,9.67
55,274,558,5,154.68
56,980,469,5,46.6
57,681,397,1,169.75
58,543,285,2,95.54
59,1599,45,1,125.63
60,10,171,1,179.82
61,85,335,3,223.36
62,900,166,4,173.26
63,1126,18,4,46.31
64,251,580,4,39.05
65,57,405,1,199.74
66,1980,140,2,154.37
67,1330,518,4,21
68,263,400,3,54.03
69,286,296,5,199.63
70,1752,583,5,201.79
71,290,144,5,232.36
72,486,150,5,232.51
73,1705,204,1,23.72
74,1146,218,4,68.19
75,962,469,3,46.6
76,2,439,5,171.1
77,1456,431,2,93.14
78,1268,389,3,5.36
79,1748,28,5,115.98
80,1653,332,1,209.27
81,878,526,2,237.96
82,1810,264,2,170.77
83,1163,534,4,5.88
84,516,561,3,91.92
85,1458,125,1,133.92
86,906,359,4,243.4
87,1879,374,4,45.52
88,1024,519,4,169.02
