id,user_id,total_amount,discount_amount,final_amount,status,created_at
1,4,58.41,2.32,56.09,PAID,2024-05-08 10:45:44
2,4,294.76,47.44,247.32,PAID,2024-09-17 11:20:03
3,4,124.65,7.75,116.90,COMPLETED,2024-01-08 16:00:11
4,34,159.24,22.30,136.94,SHIPPING,2024-12-10 08:06:21
5,36,281.62,9.02,272.60,PAID,2024-01-02 01:04:00
6,17,164.67,11.46,153.21,SHIPPING,2024-03-16 07:53:24
7,29,99.23,13.63,85.60,PAID,2024-09-29 08:04:57
8,38,121.96,19.96,102.00,PACKING,2024-10-01 21:15:16
9,1,285.31,14.93,270.38,CREATED,2024-08-03 07:05:21
10,38,75.47,8.94,66.53,SHIPPING,2024-04-25 12:26:44
11,30,221.40,30.76,190.64,PACKING,2025-11-17 13:08:57
12,19,259.22,36.09,223.13,PAID,2024-05-26 07:16:08
13,15,261.97,57.23,204.74,SHIPPING,2024-08-29 08:18:34
14,40,319.66,32.89,286.77,PAID,2025-06-22 19:47:10
15,7,317.92,19.00,298.92,CREATED,2025-08-29 12:20:38
16,29,223.80,55.69,168.11,PACKING,2025-05-17 04:40:00
17,11,78.30,16.24,62.06,PAID,2024-09-26 23:43:56
18,33,267.82,53.88,213.94,SHIPPING,2025-12-31 02:09:24
19,47,269.66,32.64,237.02,PACKING,2025-10-13 19:11:14
20,30,315.85,34.06,281.79,CREATED,2025-08-22 13:08:39
21,19,69.55,2.02,67.53,COMPLETED,2024-03-04 08:45:24
22,37,162.91,40.45,122.46,COMPLETED,2025-05-21 00:03:45
23,30,94.22,1.56,92.66,PACKING,2024-10-01 04:07:54
24,40,85.38,12.70,72.68,COMPLETED,2025-01-18 09:19:28
25,29,239.57,53.39,186.18,CREATED,2024-03-23 23:34:08
26,30,27.32,3.91,23.41,PAID,2024-03-29 12:19:46
27,40,165.57,27.98,137.59,CREATED,2024-01-29 15:05:30
28,27,17.99,4.31,13.68,COMPLETED,2024-01-08 10:24:12
29,28,92.16,10.55,81.61,PAID,2025-02-11 06:52:23
30,43,284.67,51.69,232.98,PAID,2024-02-12 02:42:39
31,13,82.65,6.03,76.62,COMPLETED,2024-02-05 07:10:26
32,18,248.19,28.18,220.01,PACKING,2024-06-21 01:19:25
33,8,101.64,22.51,79.13,PAID,2025-10-24 12:54:14
34,28,17.69,2.50,15.19,CREATED,2024-08-07 06:04:02
35,8,192.37,17.58,174.79,COMPLETED,2026-01-07 02:53:42
