id,product_id,color,size,stock,price_delta
1,35,Red,S,439,-73.04
2,116,Blue,XL,98,160.51
3,125,Blue,S,440,5.10
4,197,Blue,S,460,-65.86
5,59,Red,S,63,-82.12
6,167,Blue,S,266,14.07
7,186,White,S,303,124.43
8,142,Red,M,162,1.72
9,195,Red,XL,263,165.81
10,143,White,S,420,-14.50
11,76,Red,S,414,194.75
12,129,White,XL,350,-93.35
13,128,Black,XL,430,12.22
14,104,White,XL,409,82.84
15,199,Black,L,310,7.58
16,28,Blue,M,425,62.84
17,8,Black,XL,484,-51.38
18,158,White,XL,166,-23.68
19,4,White,M,226,59.24
20,148,Blue,L,387,46.63
21,141,Blue,S,470,183.34
22,190,White,M,78,25.16
23,124,White,L,261,78.04
24,125,Blue,L,325,-16.14
25,139,Blue,L,461,9.35
26,59,White,M,458,121.34
27,142,Black,L,394,151.39
28,19,Black,S,436,20.86
29,194,White,L,458,6.56
30,160,Red,M,135,-27.45
31,41,White,L,381,13.39
32,183,Blue,L,304,50.34
33,122,Black,S,225,70.21
34,108,Red,M,423,-24.87
35,131,Blue,M,60,183.88
36,58,Blue,S,418,33.40
37,42,Blue,XL,162,55.92
38,162,White,XL,65,117.54
39,102,Blue,L,202,-121.61
40,33,Black,M,489,11.78
41,20,Red,L,263,156.45
42,145,White,L,499,-126.68
43,10,Blue,M,494,-116.69
44,200,Blue,S,100,-70.88
45,53,White,XL,390,1.83
46,100,Blue,L,363,-63.59
47,103,Black,L,489,23.89
48,84,Red,M,186,-53.78
49,173,Blue,S,226,35.72
50,176,White,XL,70,-159.32
51,22,White,M,325,-0.67
52,55,Red,L,480,77.91
53,66,Red,L,199,-20.83
54,61,White,XL,444,76.92
55,27,Black,L,244,81.03
56,38,Red,M,350,-105.88
57,97,White,S,186,107.90
58,94,Black,L,191,-41.15
59,28,Red,S,393,-24.91
60,4,Blue,S,454,-11.65
61,11,White,M,350,43.75
62,108,Black,M,398,58.95
63,62,Black,M,243,14.54
64,139,Red,L,211,36.73
65,26,Red,M,55,-59.80
66,76,Blue,L,254,71.19
67,17,Red,S,283,195.55
68,29,White,L,448,10.81
69,139,Red,XL,327,-74.13
70,54,White,L,91,53.56
71,72,Blue,S,344,-166.15
72,165,White,L,207,33.42
73,11,White,L,483,-71.10
74,149,White,L,328,-10.74
75,157,White,S,463,-39.71
76,63,Black,XL,494,45.13
77,19,Black,S,198,65.55
78,193,Blue,L,489,-74.21
79,40,Red,S,390,-123.18
80,45,White,M,470,239.74
81,82,Black,L,477,5.34
82,155,White,L,122,176.33
83,140,Red,S,369,154.70
84,173,White,M,325,-119.43
85,41,White,S,82,-85.61
86,175,Blue,XL,327,125.15
87,113,Black,XL,223,-6.73
88,44,Blue,L,380,-33.70
89,107,Black,S,346,168.56
90,36,White,M,474,-80.20
91,71,Blue,XL,95,37.52
92,60,Black,XL,212,-143.95
93,129,White,XL,303,-109.28
94,176,White,XL,222,-0.67
95,144,White,L,86,-2.45
96,196,White,L,455,81.19
97,53,Red,L,484,50.88
98,142,White,L,427,116.97
99,119,Black,S,313,166.26
100,147,White,XL,268,-63.68
101,56,Blue,S,417,151.69
102,164,Blue,L,134,8.19
103,140,Black,S,371,151.50
104,26,Black,L,121,165.55
105,199,Blue,S,173,108.52
106,98,Blue,XL,216,-0.49
107,113,Blue,M,111,131.38
108,111,Black,XL,192,114.98
109,64,Black,XL,320,137.05
110,113,Black,S,360,50.06
111,63,White,L,125,21.80
112,139,Red,M,437,-61.38
113,65,White,XL,301,-39.09
114,108,White,S,246,88.26
115,53,Black,L,62,102.68
116,31,Red,S,439,72.68
117,186,Black,M,343,59.91
118,80,Red,XL,215,143.27
119,1,Blue,S,229,166.15
120,79,Red,XL,399,6.06
121,147,Black,XL,243,56.83
122,98,Black,M,375,202.88
123,154,Blue,M,314,56.12
124,105,White,L,392,-43.83
125,136,Red,M,397,-29.38
126,100,Blue,XL,368,14.52
127,150,Blue,S,176,76.80
128,164,Black,L,372,-18.29
129,40,Red,XL,442,65.27
130,19,Red,S,458,133.48
131,182,Red,XL,476,37.06
132,67,White,XL,73,59.55
133,70,Blue,S,84,-30.00
134,169,Black,XL,413,1.17
135,42,Blue,S,191,78.28
136,155,White,L,171,86.74
137,86,Black,L,475,-18.95
138,134,Blue,L,427,121.55
139,13,Red,M,415,56.29
140,143,Red,L,168,-19.32
141,101,White,XL,182,-17.99
142,157,White,L,362,-30.25
143,181,Black,M,494,140.02
144,160,Red,XL,439,128.79
145,64,White,L,424,-80.33
146,43,White,XL,184,-31.88
147,118,White,M,416,57.21
148,113,Red,L,173,80.41
149,30,Red,M,166,-95.71
150,102,Blue,L,145,91.50
151,12,Black,S,160,128.99
152,175,Blue,S,467,163.04
153,186,Red,XL,190,99.74
154,31,Black,M,169,-109.32
155,127,Blue,XL,168,125.63
156,61,Blue,L,249,68.85
157,55,Red,XL,353,11.74
158,29,Black,M,458,-170.23
159,2,Red,XL,484,73.27
160,149,White,L,500,5.33
161,195,Black,M,124,-57.46
162,171,Blue,S,90,31.81
163,119,Black,L,81,-44.72
164,135,Black,M,449,215.61
165,31,Black,XL,305,-117.15
166,164,Red,M,482,50.26
167,50,Blue,XL,187,-7.34
168,67,White,M,453,-40.14
169,152,Red,M,407,77.82
170,144,Red,S,325,119.74
171,52,Black,XL,430,102.99
172,157,Red,S,99,-50.14
173,39,White,S,486,126.14
174,12,Black,S,312,134.75
175,121,Black,L,70,198.38
176,33,Blue,S,252,99.46
177,196,Black,XL,188,136.31
178,24,Red,L,67,2.41
179,99,Red,S,116,-4.65
180,67,Black,XL,205,154.80
181,25,White,XL,155,91.54
182,85,Blue,L,349,128.23
183,124,White,S,279,7.37
184,135,Red,S,152,169.01
185,95,Red,XL,226,-25.81
186,33,Black,S,459,10.34
187,167,Blue,L,230,-81.03
188,70,Black,L,126,81.81
189,82,Red,L,281,-28.03
190,72,Blue,XL,429,35.34
191,98,Black,S,318,-7.88
192,126,White,L,432,169.00
193,87,Red,L,287,-16.19
194,154,White,L,178,-83.96
195,176,White,M,144,46.85
196,197,Black,XL,329,67.76
197,175,Black,L,84,40.64
198,162,Black,S,161,183.77
199,165,Blue,M,238,-56.90
200,125,White,L,356,117.43
201,127,Blue,M,237,52.52
202,140,Blue,M,466,131.38
203,66,White,XL,322,-102.17
204,198,Blue,XL,365,-133.17
205,131,Black,XL,284,69.91
206,2,Red,M,378,26.03
207,2,Red,S,432,-18.93
208,81,Blue,L,469,84.30
209,133,Red,XL,117,24.33
210,130,White,XL,133,98.65
211,65,Blue,S,339,7.64
212,10,Blue,L,387,-60.19
213,193,Black,S,483,37.60
214,2,Red,XL,457,-30.72
215,96,Red,XL,461,79.13
216,30,Red,XL,125,-76.98
217,5,Red,M,115,-101.34
218,151,Blue,L,313,-100.37
219,74,Red,XL,447,38.68
220,125,Blue,M,255,131.66
221,184,Black,XL,155,-23.26
222,39,Black,M,129,-57.93
223,123,Blue,S,145,-23.13
224,1,Blue,S,76,140.16
225,141,Blue,M,383,76.28
226,27,Black,XL,400,225.22
227,72,Blue,M,410,8.93
228,13,Black,M,113,108.56
229,172,Red,XL,304,67.56
230,101,Blue,S,247,-110.55
231,158,White,M,263,62.59
232,191,Blue,L,464,17.90
233,140,Red,M,102,164.51
234,3,Red,L,370,-44.41
235,113,Black,L,190,-47.68
236,70,Blue,M,181,-10.75
237,50,Black,XL,361,42.39
238,131,Blue,M,295,49.90
239,179,Red,L,305,43.75
240,95,White,XL,360,33.24
241,195,Blue,M,79,69.84
242,130,White,L,465,121.94
243,55,Blue,L,110,48.56
244,33,Red,M,375,-8.15
245,138,White,S,165,17.06
246,145,Red,M,52,-25.31
247,199,Red,S,162,101.47
248,22,Red,M,490,125.29
249,88,Blue,L,218,-3.72
250,89,Black,M,444,58.35
251,37,Red,S,421,-13.29
252,27,Red,L,321,42.40
253,13,Black,L,254,-84.52
254,96,Black,M,190,150.47
255,3,Black,L,461,28.09
256,165,Red,M,397,37.01
257,148,Blue,XL,251,-45.00
258,78,Red,M,77,73.39
259,154,White,S,272,-32.14
260,71,Red,S,321,127.35
261,68,White,XL,103,29.67
262,191,Black,L,328,22.98
263,93,Red,S,117,-60.03
264,40,White,S,473,23.70
265,56,Red,XL,199,74.14
266,41,Blue,M,257,56.63
267,31,Red,M,401,-91.38
268,164,Black,S,379,107.32
269,34,Black,XL,448,-29.38
270,111,Red,XL,259,181.87
271,104,Black,XL,448,17.19
272,10,Black,S,350,45.07
273,36,Red,L,340,48.14
274,168,Blue,L,175,158.42
275,160,Black,M,233,39.21
276,41,Black,S,210,77.01
277,109,Red,L,445,69.96
278,15,Blue,XL,200,63.71
279,194,Blue,L,171,136.30
280,163,Black,M,108,52.94
281,132,Blue,M,437,210.50
282,182,Black,S,157,117.46
283,99,Blue,M,101,94.17
284,64,Red,L,451,62.77
285,174,Blue,XL,383,62.33
286,198,Blue,M,327,-43.94
287,31,Red,XL,126,42.01
288,4,Blue,XL,63,-13.15
289,168,White,S,243,70.00
290,171,White,L,318,7.34
291,28,Black,L,465,85.85
292,163,Blue,M,328,212.22
293,64,White,XL,225,64.16
294,170,Black,M,335,57.19
295,42,Blue,M,312,65.88
296,56,White,XL,314,179.32
297,186,Black,M,449,-1.94
298,120,Black,S,336,92.86
299,25,Black,XL,172,208.00
300,200,Black,S,209,114.06
301,120,Blue,L,118,38.89
302,144,Blue,L,461,228.80
303,107,Blue,M,463,170.23
304,52,Red,XL,127,16.37
305,67,White,L,368,136.35
306,22,Red,L,182,185.97
307,66,Red,L,339,-10.06
308,120,White,S,179,231.74
309,58,Black,M,325,193.94
310,159,Blue,M,172,173.71
311,148,Blue,M,150,-80.39
312,22,White,S,79,151.14
313,8,Blue,XL,120,-24.74
314,152,Black,M,485,200.07
315,98,Red,M,418,8.74
316,102,White,L,413,-80.86
317,37,Blue,L,95,98.91
318,132,White,L,61,164.19
319,75,Red,S,180,72.38
320,159,Black,S,211,201.26
321,41,Black,M,272,-119.92
322,163,White,M,253,92.81
323,32,Blue,M,314,40.37
324,35,Black,L,464,73.91
325,52,Blue,XL,168,61.69
326,69,White,S,333,-10.23
327,129,Blue,M,443,69.42
328,170,Blue,XL,100,-66.05
329,172,White,M,282,37.56
330,193,Blue,S,471,-136.56
331,187,White,L,397,13.81
332,192,Blue,S,146,90.12
333,45,Blue,M,150,126.29
334,60,Black,L,76,-103.91
335,118,White,S,487,84.85
336,74,Black,XL,83,75.38
337,145,Black,XL,457,114.54
338,132,Blue,L,230,57.01
339,121,Blue,S,205,-38.60
340,151,White,L,334,-17.51
341,72,Red,S,316,-86.61
342,7,Black,S,57,-7.49
343,26,Red,L,434,159.05
344,142,Red,S,298,87.93
345,163,Blue,S,464,51.22
346,140,White,S,234,176.46
347,55,White,M,256,75.31
348,82,Red,XL,486,75.49
349,67,Black,L,442,119.29
350,162,Red,M,253,174.07
351,141,Black,L,137,9.69
352,69,Black,XL,332,-143.83
353,186,White,L,191,-11.09
354,185,Black,XL,204,58.80
355,53,Red,S,201,-35.58
356,133,Black,M,236,21.80
357,192,Black,S,263,128.22
358,192,Black,M,409,59.04
359,170,White,XL,151,105.71
360,60,White,S,309,51.12
