id,name,owner_user_id,rating,active,created_at
1,Sunrise Market 1,23,3.59,0,2024-04-06 13:56:48
2,Lotus Mart 2,33,4.75,1,2025-12-08 22:11:41
3,Saigon Select 3,14,3.49,1,2026-01-02 10:42:35
4,Urban Thread 4,18,4.60,1,2025-01-08 09:29:45
5,Golden Leaf 5,44,4.70,1,2024-10-30 08:41:06
6,Bamboo House 6,17,4.84,1,2025-10-13 21:41:17
7,Coastal Goods 7,45,3.61,0,2025-12-08 14:59:53
8,Metro Outlet 8,20,3.91,1,2024-08-28 04:31:40
9,Aurora Supply 9,21,4.07,1,2025-01-03 03:17:30
10,Cedar & Co 10,4,4.86,1,2024-10-23 22:59:30
11,Amber Street 11,47,4.15,1,2024-01-08 14:01:16
12,Nova Essentials 12,9,4.24,1,2024-10-26 10:39:15
13,Lantern & Pine 13,6,3.83,1,2025-01-31 12:33:52
14,Velvet Road 14,22,4.71,1,2025-10-06 10:12:36
15,Craftline 15,49,3.69,1,2024-05-10 08:02:15
16,Evergreen Shop 16,35,3.75,1,2024-03-05 21:51:57
17,Maple & Oak 17,41,4.77,1,2025-04-24 13:18:00
18,City Harbor 18,21,3.74,1,2025-05-15 05:30:57
19,Bloom Bazaar 19,31,3.98,1,2024-05-31 17:00:02
20,Northgate Store 20,14,3.49,1,2024-10-30 01:53:11
21,Seaside Pantry 21,37,3.49,1,2025-02-10 07:23:26
22,Willow & Co 22,42,3.91,1,2024-10-08 02:19:13
23,Harbor Lane 23,50,3.86,1,2025-09-15 23:02:08
24,Citrine Corner 24,37,4.36,1,2026-01-09 20:03:16
25,Pinecrest 25,20,3.66,1,2024-03-22 09:55:32
26,Pearl Market 26,40,3.50,1,2024-06-01 09:15:42
27,Cobalt & Co 27,48,3.82,1,2025-02-16 20:17:55
28,Orchid Avenue 28,17,4.40,1,2025-08-02 13:55:04
29,Monarch Market 29,3,4.29,1,2025-09-09 23:17:40
30,Crescent Store 30,1,3.74,0,2024-06-15 17:18:43
31,Timberline 31,13,4.24,1,2025-10-23 13:56:10
32,Skyline Goods 32,29,4.38,1,2024-03-06 18:12:52
33,Copper & Co 33,30,3.41,1,2025-03-26 16:05:32
34,Slate Market 34,1,4.44,1,2025-09-19 22:31:14
35,Riverstone 35,2,4.87,1,2026-01-03 18:24:05
36,Amberfield 36,43,3.55,1,2024-07-12 04:19:35
37,Cedar Grove 37,31,4.75,1,2025-11-19 17:31:53
38,Silverline 38,14,4.40,1,2024-05-06 20:04:31
39,Elm & Ivy 39,29,3.90,1,2025-02-21 15:06:46
40,Meadow Lane 40,18,4.08,1,2024-03-18 13:06:18
41,Brighton 41,40,3.42,1,2024-09-11 01:33:28
42,Eastwood 42,38,4.14,1,2025-05-08 20:14:12
43,Maplecrest 43,40,3.95,1,2024-06-16 19:00:49
44,Harborview 44,47,4.26,1,2025-07-24 22:17:17
45,Violet Lane 45,42,4.58,0,2025-05-13 23:42:11
46,Rainier 46,31,4.54,1,2025-10-26 08:17:06
47,Granite Goods 47,5,4.21,1,2024-05-01 08:02:54
48,Wellspring 48,42,4.57,1,2025-08-28 14:45:21
49,Heritage Shop 49,44,4.18,1,2024-02-09 11:33:41
50,Canyon Market 50,13,4.21,1,2026-01-01 07:29:33
51,Sunrise Market 51,25,4.34,1,2025-01-05 07:21:17
52,Lotus Mart 52,30,4.46,1,2024-03-15 09:12:24
53,Saigon Select 53,25,3.83,1,2025-07-02 06:53:07
54,Urban Thread 54,50,3.59,1,2024-01-17 10:02:37
55,Golden Leaf 55,49,4.22,0,2024-08-27 06:28:18
56,Bamboo House 56,46,3.62,1,2024-11-07 12:55:15
57,Coastal Goods 57,40,4.03,1,2025-08-16 10:52:47
58,Metro Outlet 58,2,4.81,1,2025-04-29 08:32:28
59,Aurora Supply 59,24,4.47,1,2025-11-06 05:55:56
60,Cedar & Co 60,33,4.45,0,2025-12-14 01:49:21
61,Amber Street 61,2,4.33,1,2025-09-25 17:54:42
62,Nova Essentials 62,4,4.63,0,2024-07-05 01:42:09
63,Lantern & Pine 63,24,4.73,0,2024-01-08 02:14:14
64,Velvet Road 64,7,4.69,1,2025-04-14 06:23:29
65,Craftline 65,5,4.86,1,2025-07-04 11:46:41
66,Evergreen Shop 66,43,3.65,1,2024-01-22 00:02:57
67,Maple & Oak 67,34,3.91,1,2024-07-22 15:08:20
68,City Harbor 68,44,4.36,1,2024-04-25 01:29:57
69,Bloom Bazaar 69,47,3.46,1,2024-01-22 13:29:50
70,Northgate Store 70,33,3.94,1,2024-07-14 08:58:52
71,Seaside Pantry 71,3,3.47,0,2025-12-31 23:01:13
72,Willow & Co 72,31,4.03,1,2024-04-14 22:23:20
73,Harbor Lane 73,13,3.58,1,2024-08-30 19:38:06
