id,code,discount_type,discount_value,max_discount,min_order,start_at,end_at,active
1,SALE20,PERCENT,20.00,50.00,100.00,2024-01-01 00:00:00,2025-12-31 23:59:59,1
2,FLASH50,FIXED,50.00,0,200.00,2024-06-01 00:00:00,2024-06-30 23:59:59,1
3,NEWUSER10,PERCENT,10.00,30.00,0.00,2024-01-01 00:00:00,2025-01-01 00:00:00,1
4,VIP100,FIXED,100.00,0,500.00,2024-01-01 00:00:00,2025-12-31 23:59:59,1
5,EXPIRED30,PERCENT,30.00,60.00,100.00,2023-01-01 00:00:00,2023-12-31 23:59:59,0
6,SALE15,PERCENT,15.00,40.00,150.00,2024-05-01 00:00:00,2024-08-31 23:59:59,1
7,FLASH30,FIXED,30.00,0,100.00,2024-07-01 00:00:00,2024-07-07 23:59:59,1
8,WEEKEND25,PERCENT,25.00,70.00,200.00,2024-04-01 00:00:00,2024-12-31 23:59:59,1
9,LOYAL50,FIXED,50.00,0,300.00,2024-01-01 00:00:00,2025-12-31 23:59:59,1
10,MEGA40,PERCENT,40.00,100.00,500.00,2024-11-01 00:00:00,2024-11-30 23:59:59,1
