order_id,user_id,shop_id,product_id,variant,quantity,unit_price,voucher_code,order_date
1,1799,4,117,M-Red,2,460612,SALE20,2024-09-03 22:31:00
2,832,2,59,L-Red,1,253266,FLASH10,2024-01-19 16:04:00
3,1523,51,206,M-Black,5,277878,FLASH10,2024-10-14 19:27:00
4,420,64,300,M-Black,1,436560,NONE,2024-11-27 16:40:00
5,1284,51,479,M-Black,2,364743,FLASH10,2024-05-28 03:12:00
6,495,34,37,M-Red,1,245161,NONE,2024-06-12 20:33:00
7,1747,27,287,M-Black,4,379070,NONE,2024-03-06 12:35:00
8,1555,84,161,M-Red,2,187880,FLASH10,2024-05-27 01:57:00
9,728,7,253,M-Red,3,192917,NONE,2024-11-10 15:40:00
10,1460,89,41,L-Red,2,110520,FLASH10,2024-08-19 15:37:00
11,759,72,336,L-Red,2,148412,FLASH10,2024-04-09 18:33:00
12,1548,47,485,L-Red,3,436058,SALE20,2024-07-31 10:54:00
13,1936,66,18,M-Black,3,133816,FLASH10,2024-09-16 17:14:00
14,1307,14,238,M-Black,3,394011,FLASH10,2024-04-11 16:15:00
15,730,68,438,M-Black,4,480716,SALE20,2024-06-09 03:53:00
16,529,70,272,L-Black,2,267407,SALE20,2024-06-27 19:42:00
17,837,61,179,L-Red,4,434981,SALE20,2024-06-09 01:44:00
18,1330,7,412,M-Black,3,381732,NONE,2024-07-26 10:52:00
19,301,28,443,M-Black,4,178334,FLASH10,2024-09-18 17:05:00
20,1437,1,318,M-Red,3,188622,SALE20,2024-04-17 06:22:00
21,954,64,129,L-Black,4,159174,SALE20,2024-12-10 18:07:00
22,557,76,214,M-Red,4,163999,NONE,2024-07-07 20:39:00
23,1655,78,292,L-Black,5,139551,FLASH10,2024-06-10 23:50:00
24,638,3,198,L-Red,5,274744,NONE,2024-09-12 02:57:00
25,1108,14,349,M-Black,2,306620,FLASH10,2024-05-02 01:41:00
26,654,3,382,M-Black,2,371039,SALE20,2024-10-16 19:48:00
27,628,39,343,M-Black,3,209026,SALE20,2024-03-24 21:02:00
28,1950,1,392,L-Black,3,211633,SALE20,2024-06-14 10:35:00
29,699,65,328,M-Black,3,371736,NONE,2024-04-11 00:34:00
30,323,39,379,L-Red,1,224238,NONE,2024-12-05 11:15:00
