order_item_id,order_id,product_id,variant_id,variant_name,quantity,unit_price,total_price,created_at
1,1773,51,534,S-Black,4,5.88,23.52,1/17/2026
2,1927,83,539,XL-Blue,2,135.83,271.66,1/17/2026
3,1744,134,506,M-Blue,2,37.78,75.56,1/17/2026
4,1443,62,63,M-Black,2,111.6,223.2,1/17/2026
5,1319,171,409,M-Black,3,19.08,57.24,1/17/2026
6,593,56,265,XL-Red,4,94.45,377.8,1/17/2026
7,165,162,38,XL-White,4,133.35,533.4,1/17/2026
8,1944,125,220,M-Blue,1,237.59,237.59,1/17/2026
9,829,56,590,L-Red,3,208.71,626.13,1/17/2026
10,615,25,299,XL-Black,2,244.63,489.26,1/17/2026
11,1772,142,443,S-Black,3,214.05,642.15,1/17/2026
12,1688,45,453,L-White,3,91.17,273.51,1/17/2026
13,1383,174,285,XL-Blue,1,95.54,95.54,1/17/2026
14,1683,14,381,L-Blue,1,8.67,8.67,1/17/2026
15,1486,56,296,XL-White,2,199.63,399.26,1/17/2026
16,1669,139,112,M-Red,5,81.23,406.15,1/17/2026
17,529,56,265,XL-Red,1,94.45,94.45,1/17/2026
18,817,26,343,L-Red,1,233.56,233.56,1/17/2026
19,1119,183,472,M-Blue,3,115.1,345.3,1/17/2026
20,296,31,287,XL-Red,3,210.74,632.22,1/17/2026
21,214,138,505,M-White,1,34.36,34.36,1/17/2026
22,1883,183,388,XL-Blue,4,56.49,225.96,1/17/2026
23,1825,41,321,M-Black,1,32.57,32.57,1/17/2026
24,280,8,478,S-Black,2,243.97,487.94,1/17/2026
25,418,163,322,M-White,2,128.54,257.08,1/17/2026
26,1853,105,497,M-Red,2,227.24,454.48,1/17/2026
27,450,168,289,S-White,3,117.41,352.23,1/17/2026
28,1942,193,213,S-Black,5,231.67,1158.35,1/17/2026
29,931,62,63,M-Black,5,111.6,558,1/17/2026
30,945,99,283,M-Blue,4,180.56,722.24,1/17/2026
31,875,103,482,XL-Blue,3,128.85,386.55,1/17/2026
32,1993,20,434,L-Blue,1,216.37,216.37,1/17/2026
33,1927,158,231,M-White,3,132.58,397.74,1/17/2026
34,213,97,57,S-White,3,143.66,430.98,1/17/2026
35,1465,150,393,L-Red,5,110.24,551.2,1/17/2026
36,292,136,512,XL-White,3,181.18,543.54,1/17/2026
37,1637,81,208,L-Blue,1,137.8,137.8,1/17/2026
38,1811,160,275,M-Black,4,142.78,571.12,1/17/2026
39,653,90,499,M-White,4,21.14,84.56,1/17/2026
40,165,90,477,M-Red,5,49.2,246,1/17/2026
41,574,138,505,M-White,5,34.36,171.8,1/17/2026
42,1450,48,560,M-Black,1,233.09,233.09,1/17/2026
43,1828,18,586,S-Black,2,148.25,296.5,1/17/2026
44,1521,167,427,L-Red,1,129.4,129.4,1/17/2026
45,198,30,149,M-Red,4,21.72,86.88,1/17/2026
46,447,20,434,L-Blue,5,216.37,1081.85,1/17/2026
47,1147,12,151,S-Black,1,222.77,222.77,1/17/2026
48,168,31,116,S-Red,1,241.41,241.41,1/17/2026
49,1387,121,339,S-Blue,1,9.27,9.27,1/17/2026
50,1318,131,597,XL-Red,5,25.44,127.2,1/17/2026
51,1400,105,384,L-White,4,11.67,46.68,1/17/2026
52,848,78,405,S-Black,1,199.74,199.74,1/17/2026
53,1524,92,462,M-White,3,37.99,113.97,1/17/2026
54,815,68,447,S-Red,4,9.67,38.68,1/17/2026
55,274,15,558,S-Blue,5,154.68,773.4,1/17/2026
56,980,120,469,XL-Red,5,46.6,233,1/17/2026
57,681,18,397,M-Black,1,169.75,169.75,1/17/2026
58,543,174,285,XL-Blue,2,95.54,191.08,1/17/2026
59,1599,53,45,XL-White,1,125.63,125.63,1/17/2026
60,10,52,171,XL-Black,1,179.82,179.82,1/17/2026
61,85,118,335,S-White,3,223.36,670.08,1/17/2026
62,900,164,166,M-Red,4,173.26,693.04,1/17/2026
63,1126,158,18,XL-White,4,46.31,185.24,1/17/2026
64,251,68,580,S-Red,4,39.05,156.2,1/17/2026
65,57,78,405,S-Black,1,199.74,199.74,1/17/2026
66,1980,143,140,L-Red,2,154.37,308.74,1/17/2026
67,1330,141,518,M-White,4,21,84,1/17/2026
68,263,3,400,M-Blue,3,54.03,162.09,1/17/2026
69,286,56,296,XL-White,5,199.63,998.15,1/17/2026
70,1752,60,583,S-Blue,5,201.79,1008.95,1/17/2026
71,290,160,144,XL-Red,5,232.36,1161.8,1/17/2026
72,486,102,150,L-Blue,5,232.51,1162.55,1/17/2026
73,1705,198,204,XL-Blue,1,23.72,23.72,1/17/2026
74,1146,151,218,L-Blue,4,68.19,272.76,1/17/2026
75,962,120,469,XL-Red,3,46.6,139.8,1/17/2026
76,2,93,439,S-White,5,171.1,855.5,1/17/2026
77,1456,84,431,XL-White,2,93.14,186.28,1/17/2026
78,1268,185,389,L-Red,3,5.36,16.08,1/17/2026
79,1748,19,28,S-Black,5,115.98,579.9,1/17/2026
80,1653,192,332,S-Blue,1,209.27,209.27,1/17/2026
81,878,63,526,S-Blue,2,237.96,475.92,1/17/2026
82,1810,40,264,S-White,2,170.77,341.54,1/17/2026
83,1163,51,534,S-Black,4,5.88,23.52,1/17/2026
84,516,194,561,XL-Blue,3,91.92,275.76,1/17/2026
85,1458,136,125,M-Red,1,133.92,133.92,1/17/2026
86,906,170,359,XL-White,4,243.4,973.6,1/17/2026
87,1879,148,374,XL-Blue,4,45.52,182.08,1/17/2026
88,1024,62,519,S-White,4,169.02,676.08,1/17/2026
89,58,108,386,XL-Black,5,235.37,1176.85,1/17/2026
90,1740,176,50,XL-White,4,21,84,1/17/2026
91,212,187,331,L-White,2,28.04,56.08,1/17/2026
92,158,141,21,S-Blue,3,197,591,1/17/2026
93,252,135,184,S-Red,4,187.08,748.32,1/17/2026
94,942,50,237,XL-Black,2,135.53,271.06,1/17/2026
95,1287,193,78,L-Blue,2,119.86,239.72,1/17/2026
96,1853,198,286,M-Blue,4,112.95,451.8,1/17/2026
97,478,148,374,XL-Blue,2,45.52,91.04,1/17/2026
98,1329,53,45,XL-White,3,125.63,376.89,1/17/2026
99,1135,124,455,M-Black,5,183.96,919.8,1/17/2026
100,578,157,465,S-Blue,5,165.34,826.7,1/17/2026
101,623,27,252,L-Red,1,65.99,65.99,1/17/2026
102,407,103,482,XL-Blue,2,128.85,257.7,1/17/2026
103,628,140,202,M-Blue,2,182.83,365.66,1/17/2026
104,1937,149,74,L-White,3,86.91,260.73,1/17/2026
105,1285,39,173,S-White,4,214.37,857.48,1/17/2026
106,931,159,310,M-Blue,2,180.45,360.9,1/17/2026
107,1839,151,408,S-Blue,1,54.06,54.06,1/17/2026
108,731,135,366,M-Black,5,236.73,1183.65,1/17/2026
109,1619,50,237,XL-Black,1,135.53,135.53,1/17/2026
110,337,193,554,M-White,5,135.66,678.3,1/17/2026
111,258,54,466,XL-Blue,5,35.22,176.1,1/17/2026
112,305,171,290,L-White,4,42.8,171.2,1/17/2026
113,514,163,345,S-Blue,3,86.95,260.85,1/17/2026
114,386,197,4,S-Blue,2,70.25,140.5,1/17/2026
115,1284,40,264,S-White,2,170.77,341.54,1/17/2026
116,1904,186,7,S-White,1,192.11,192.11,1/17/2026
117,583,162,38,XL-White,4,133.35,533.4,1/17/2026
118,1543,13,228,M-Black,5,217.27,1086.35,1/17/2026
119,1237,65,113,XL-White,1,138.62,138.62,1/17/2026
120,1938,31,154,M-Black,2,59.41,118.82,1/17/2026
