order_id,user_id,shop_id,order_status,subtotal,discount_amount,total_amount,order_date
1,4,9,PAID,0,0,0,6/15/2025
2,4,8,PAID,0,0,0,10/28/2024
3,4,1,COMPLETED,0,0,0,11/11/2024
4,34,2,SHIPPING,0,0,0,9/27/2024
5,36,4,PAID,0,0,0,12/23/2024
6,17,8,SHIPPING,0,0,0,9/29/2024
7,29,2,PAID,0,0,0,10/21/2024
8,38,10,PACKING,0,0,0,2/18/2024
9,1,4,CREATED,0,0,0,1/30/2024
10,38,2,SHIPPING,0,0,0,1/11/2024
11,30,2,PACKING,0,0,0,3/27/2025
12,19,7,PAID,0,0,0,2/13/2024
13,15,8,SHIPPING,0,0,0,7/30/2024
14,40,9,PAID,0,0,0,3/19/2024
15,7,2,CREATED,0,0,0,11/19/2024
16,29,2,PACKING,0,0,0,4/8/2025
17,11,9,PAID,0,0,0,11/7/2024
18,33,3,SHIPPING,0,0,0,4/27/2024
19,47,1,PACKING,0,0,0,9/9/2024
20,30,3,CREATED,0,0,0,4/23/2024
21,19,3,COMPLETED,0,0,0,7/16/2024
22,37,9,COMPLETED,0,0,0,1/31/2024
23,30,7,PACKING,0,0,0,7/18/2024
24,40,8,COMPLETED,0,0,0,5/18/2024
25,29,2,CREATED,0,0,0,1/27/2024
26,30,9,PAID,0,0,0,3/26/2025
27,40,10,CREATED,0,0,0,1/30/2024
28,27,3,COMPLETED,0,0,0,7/26/2025
29,28,3,PAID,0,0,0,8/20/2024
30,43,4,PAID,0,0,0,5/1/2025
31,13,6,COMPLETED,0,0,0,6/26/2024
32,18,3,PACKING,0,0,0,6/28/2025
33,8,3,PAID,0,0,0,1/10/2024
34,28,4,CREATED,0,0,0,8/17/2024
35,8,9,COMPLETED,0,0,0,5/21/2024
36,20,8,PAID,0,0,0,3/5/2024
37,33,5,COMPLETED,0,0,0,1/17/2024
38,13,2,COMPLETED,0,0,0,5/20/2024
39,39,6,PAID,0,0,0,11/24/2024
40,33,10,PACKING,0,0,0,8/13/2025
41,31,2,COMPLETED,0,0,0,3/27/2024
42,23,8,SHIPPING,0,0,0,6/13/2025
43,6,2,CREATED,0,0,0,7/6/2025
44,28,10,SHIPPING,0,0,0,9/24/2024
45,32,10,PAID,0,0,0,7/18/2024
46,42,1,PAID,0,0,0,2/11/2025
47,23,7,PAID,0,0,0,1/9/2024
48,13,8,PACKING,0,0,0,7/10/2025
49,46,1,PACKING,0,0,0,10/13/2024
50,23,9,PAID,0,0,0,12/26/2024
51,39,9,PACKING,0,0,0,9/22/2024
52,19,6,COMPLETED,0,0,0,7/9/2025
